#GPSANS Mirror Neutron Oscillation Experiment Detector Identification Map,,,
#Matthew Frost        2021june21    Oak Ridge National Laboratory,,,
#Detector ID Number, Scaling,Values associated with Notes,...
62,0.004086,-0.11275,-0.0041
63,0.004086,-0.12375,-0.0041
64,0.004086,-0.13475,-0.0041
65,0.004086,-0.14575,-0.0041
66,0.004086,-0.15675,-0.0041
67,0.004086,-0.16775,-0.0041
68,0.004086,-0.17875,-0.0041
69,0.004086,-0.18975,-0.0041
70,0.004086,-0.20075,-0.0041
71,0.004086,-0.21175,-0.0041
72,0.004086,-0.22275,-0.0041
73,0.004086,-0.23375,-0.0041
74,0.004086,-0.24475,-0.0041
75,0.004086,-0.25575,-0.0041
76,0.004086,-0.26675,-0.0041
77,0.004086,-0.27775,-0.0041
78,0.004086,-0.28875,-0.0041
79,0.004086,-0.29975,-0.0041
80,0.004086,-0.31075,-0.0041
81,0.004086,-0.32175,-0.0041
82,0.004086,-0.33275,-0.0041
83,0.004086,-0.34375,-0.0041
84,0.004086,-0.35475,-0.0041
85,0.004086,-0.36575,-0.0041
86,0.004086,-0.37675,-0.0041
87,0.004086,-0.38775,-0.0041
88,0.004086,-0.39875,-0.0041
89,0.004086,-0.40975,-0.0041
90,0.004086,-0.42075,-0.0041
91,0.004086,-0.43175,-0.0041
92,0.004086,-0.44275,-0.0041
93,0.004086,-0.45375,-0.0041
94,0.004086,-0.46475,-0.0041
95,0.004086,-0.47575,-0.0041
96,0.004086,-0.48675,-0.0041
97,0.004086,-0.49775,-0.0041
98,0.004086,-0.50875,-0.0041
99,0.004086,-0.51975,-0.0041
100,0.004086,0.51975,0.0041
101,0.004086,0.50875,0.0041
102,0.004086,0.49775,0.0041
103,0.004086,0.48675,0.0041
104,0.004086,0.47575,0.0041
105,0.004086,0.46475,0.0041
106,0.004086,0.45375,0.0041
107,0.004086,0.44275,0.0041
108,0.004086,0.43175,0.0041
109,0.004086,0.42075,0.0041
110,0.004086,0.40975,0.0041
111,0.004086,0.39875,0.0041
112,0.004086,0.38775,0.0041
113,0.004086,0.37675,0.0041
114,0.004086,0.36575,0.0041
115,0.004086,0.35475,0.0041
116,0.004086,0.34375,0.0041
117,0.004086,0.33275,0.0041
118,0.004086,0.32175,0.0041
119,0.004086,0.31075,0.0041
120,0.004086,0.29975,0.0041
121,0.004086,0.28875,0.0041
122,0.004086,0.27775,0.0041
123,0.004086,0.26675,0.0041
124,0.004086,0.25575,0.0041
125,0.004086,0.24475,0.0041
126,0.004086,0.23375,0.0041
127,0.004086,0.22275,0.0041
128,0.004086,0.21175,0.0041
129,0.004086,0.20075,0.0041
130,0.004086,0.18975,0.0041
131,0.004086,0.17875,0.0041
132,0.004086,0.16775,0.0041
133,0.004086,0.15675,0.0041
134,0.004086,0.14575,0.0041
135,0.004086,0.13475,0.0041
136,0.004086,0.12375,0.0041
137,0.004086,0.11275,0.0041
138,0.004086,0.10175,0.0041
139,0.004086,0.09075,0.0041
140,0.004086,0.07975,0.0041
141,0.004086,0.06875,0.0041
142,0.004086,0.05775,0.0041
143,0.004086,0.04675,0.0041
144,0.004086,0.03575,0.0041
145,0.004086,0.02475,0.0041
146,0.004086,0.01375,0.0041
147,0.004086,0.00275,0.0041
148,0.004086,-0.00825,0.0041
149,0.004086,-0.01925,0.0041
150,0.004086,-0.03025,0.0041
151,0.004086,-0.04125,0.0041
152,0.004086,-0.05225,0.0041
153,0.004086,-0.06325,0.0041
154,0.004086,-0.07425,0.0041
155,0.004086,-0.08525,0.0041
156,0.004086,-0.09625,0.0041
157,0.004086,-0.10725,0.0041
158,0.004086,-0.11825,0.0041
